cases,deaths,year,state,population,abbreviation,cases_per_10k,deaths_per_10k
557271,19523,2021,New Jersey,8885418,NJ,627.1747710687331,21.97195449893297
149984,2643,2021,New Mexico,2097021,NM,715.224120311623,12.603593383185004
1064554,38486,2021,New York,19514849,NY,545.5097295397982,19.721392668731387
584694,7149,2021,North Carolina,10386227,NC,562.9513007947929,6.883154007706553
93839,1341,2021,North Dakota,760394,ND,1234.083909131319,17.635594178807303
742817,9368,2021,Ohio,11675275,OH,636.2308382457801,8.023793872092948
311573,2633,2021,Oklahoma,3949342,OK,788.9238257917394,6.666933377762676
120243,1571,2021,Oregon,4176346,OR,287.91436341720726,3.7616615098461668
689162,16960,2021,Pennsylvania,12794885,PA,538.623051320899,13.255296940926002
95463,1890,2021,Rhode Island,1057798,RI,902.4690914522432,17.86730547798351
333235,5582,2021,South Carolina,5091517,SC,654.4905968103417,10.963333717632683
101684,1519,2021,South Dakota,879336,SD,1156.372535640529,17.274397954820454
610347,7312,2021,Tennessee,6772268,TN,901.2446052046374,10.796973775993507
1887800,29278,2021,Texas,28635442,TX,659.2529635128384,10.224392555211825
292720,1333,2021,Utah,3151239,UT,928.9044721774515,4.230082199414262
8158,152,2021,Vermont,624340,VT,130.6659832783419,2.4345709068776626
377300,5226,2021,Virginia,8509358,VA,443.39420200677887,6.141473892625037
265790,3681,2021,Washington,7512465,WA,353.798653304874,4.899856438599048
94678,1481,2021,West Virginia,1807426,WV,523.8278081647603,8.193973086588331
535999,5442,2021,Wisconsin,5806975,WI,923.0261883338571,9.371488597763896
45890,464,2021,Wyoming,581348,WY,789.3722864790108,7.981450009288757
389230,5080,2021,Alabama,4893186,AL,795.4531056044058,10.381783974694606
48961,214,2021,Alaska,736990,AK,664.3373722845629,2.9037028996322882
588383,9764,2021,Arizona,7174064,AZ,820.1529844172006,13.61013785212956
245916,3926,2021,Arkansas,3011873,AR,816.4886102435262,13.035078172286811
2589250,28554,2021,California,39346023,CA,658.0715921403289,7.257150233455615
354998,5164,2021,Colorado,5684926,CO,624.4549181466917,9.083671449725115
202758,6287,2021,Connecticut,3570549,CT,567.8622531156973,17.607936482596934
62949,949,2021,Delaware,967679,DE,650.5153051786801,9.806971113354738
30750,808,2021,District of Columbia,701974,DC,438.050412123526,11.510397821001916
1429714,22480,2021,Florida,21216924,FL,673.8554561443497,10.5953153246908
699806,10878,2021,Georgia,10516579,GA,665.4312205518544,10.343667841034618
22611,297,2021,Hawaii,1420074,HI,159.22409677242172,2.091440305223531
147500,1519,2021,Idaho,1754367,ID,840.7590886057478,8.658393597234786
1010808,18944,2021,Illinois,12716164,IL,794.90009723058,14.89757445720266
549514,8823,2021,Indiana,6696893,IN,820.5506643155267,13.17476626847704
293189,4065,2021,Iowa,3150011,IA,930.7554799014987,12.90471684067135
240540,3027,2021,Kansas,2912619,KS,825.8546689422819,10.392708418093818
294951,3161,2021,Kentucky,4461952,KY,661.0357977853638,7.084343354657334
338054,7728,2021,Louisiana,4664616,LA,724.7198911979036,16.567280136242726
27625,385,2021,Maine,1340825,ME,206.02986966979284,2.8713665094251675
296049,6173,2021,Maryland,6037624,MD,490.3402398029424,10.22422065368761
411601,12909,2021,Massachusetts,6873003,MA,598.8663179690159,18.782182984642958
553222,13863,2021,Michigan,9973907,MI,554.6692986008392,13.89926735831806
429638,5640,2021,Minnesota,5600166,MN,767.1879726422395,10.071130034359696
231490,5061,2021,Mississippi,2981835,MS,776.334035920834,16.972770123095344
440563,6238,2021,Missouri,6124160,MO,719.3851891524715,10.185886717525342
84848,1039,2021,Montana,1061705,MT,799.1673770020863,9.786145869144441
174590,1881,2021,Nebraska,1923826,NE,907.5145049500319,9.777391510458846
241144,3349,2021,Nevada,3030281,NV,795.7809853277633,11.051780346443119
49261,827,2021,New Hampshire,1355244,NH,363.4843614876731,6.102222182868915
564750,19646,2021,New Jersey,8885418,NJ,635.5919327599445,22.110383552017478
151819,2682,2021,New Mexico,2097021,NM,723.9746287710042,12.789571492130982
1082142,38683,2021,New York,19514849,NY,554.5223537215174,19.82234143856301
595308,7262,2021,North Carolina,10386227,NC,573.1706037235658,6.991951937888513
94163,1348,2021,North Dakota,760394,ND,1238.3448580604265,17.727651717399137
753068,9462,2021,Ohio,11675275,OH,645.0109312200356,8.104305894293711
315354,2672,2021,Oklahoma,3949342,OK,798.4975725070151,6.765684005082366
121087,1577,2021,Oregon,4176346,OR,289.93526877322904,3.776028135599876
699018,17220,2021,Pennsylvania,12794885,PA,546.3261295431729,13.458503144029821
96591,1910,2021,Rhode Island,1057798,RI,913.1327531343414,18.056377493623547
338112,5661,2021,South Carolina,5091517,SC,664.0692744421751,11.118493761289612
102132,1544,2021,South Dakota,879336,SD,1161.4672889543929,17.55870338528162
620557,7424,2021,Tennessee,6772268,TN,916.3207953376918,10.962354118295378
1910426,29645,2021,Texas,28635442,TX,667.1543606695507,10.352555410180154
297317,1362,2021,Utah,3151239,UT,943.4923850587023,4.322109494075187
8403,155,2021,Vermont,624340,VT,134.59012717429607,2.4826216484607744
382679,5275,2021,Virginia,8509358,VA,449.7154779479251,6.19905755522332
269033,3719,2021,Washington,7512465,WA,358.1154787409991,4.950439036987194
96002,1518,2021,West Virginia,1807426,WV,531.1531426459507,8.398684095503771
540508,5485,2021,Wisconsin,5806975,WI,930.7909884234047,9.445537478635607
